datetime,surface_area_m3s,error
24/06/1984,441.31,42.52
01/12/1984,459.44,85.59
01/05/1985,372.02,194.2
20/10/1986,600.93,17.1
15/01/1987,527.62,133.25
31/01/1987,513.41,132.67
14/10/1987,481.9,154.69
31/10/1987,430.28,53.69
24/11/1990,680.62,10.52
17/12/1990,656.81,61.69
29/11/1998,655.56,55.08
01/02/1999,638.34,67.9
01/11/1999,683.43,16.6
17/11/1999,703.43,15.53
05/02/2000,665.9,40.44
31/03/2000,637.62,70.51
12/06/2000,614.05,32.4
19/11/2000,645.71,63.38
12/12/2000,643.82,64.99
21/12/2000,647.25,13.75
07/02/2001,642.82,53.98
30/05/2001,562.62,27.48
18/08/2001,601.32,36.37
21/10/2001,655.33,16.2
28/10/2001,684.74,50.9
31/12/2001,645.11,68.12
17/02/2002,630.95,74.43
30/03/2002,624.48,20.82
06/04/2002,605.39,92.3
22/09/2002,645.49,34.28
31/10/2002,692.75,55.13
25/11/2002,637.94,17.44
12/01/2003,632.66,18.24
19/01/2003,633.28,71.06
04/05/2003,590.08,18.58
11/05/2003,555.48,125.21
08/08/2003,596.99,69.82
28/11/2003,632.63,50.63
30/12/2003,627.37,69.29
15/01/2004,622.95,68.92
19/03/2004,614.98,53.19
11/09/2004,612.67,62.3
14/11/2004,625.02,51.71
30/11/2004,626.74,53.78
16/12/2004,616.91,58.57
01/11/2005,615.41,78.23
17/11/2005,608.93,59.4
03/12/2005,602.92,62.62
20/11/2006,674.17,44.3
06/12/2006,660.32,41.3
22/12/2006,654.56,40.9
23/01/2007,643.68,47.38
08/02/2007,635.89,57.06
31/05/2007,581.61,69.39
09/12/2007,623.75,47.7
25/12/2007,620.56,48.45
11/02/2008,610.8,55.51
27/02/2008,608.04,56.92
30/03/2008,595.06,59.96
15/04/2008,587.97,63.59
25/11/2008,645.84,47.74
20/05/2009,567.54,66.65
08/08/2009,519.16,149.92
09/09/2009,640.53,54.23
11/10/2009,621.44,60.13
12/11/2009,623.75,58.54
14/12/2009,611.54,57.48
30/12/2009,607.96,57.89
16/02/2010,602.01,50.4
04/03/2010,593.37,55.05
28/09/2010,712.61,23.66
30/10/2010,704.48,30.47
15/11/2010,682.34,42.11
23/03/2011,612.9,58.69
24/04/2011,594.33,64.73
02/11/2011,684.55,38.96
18/11/2011,612.02,61.33
04/12/2011,604.9,61.12
10/04/2012,572.14,72.64
26/04/2012,557.67,60.19
03/10/2012,698.2,33.83
19/10/2012,721.43,27.19
12/03/2013,636.04,48.42
02/04/2013,596.68,76.84
23/05/2013,544.12,43.56
16/06/2013,510.44,106.3
10/07/2013,483.99,129.58
27/08/2013,577.81,92.3
12/09/2013,679.57,45.1
22/10/2013,633.42,54.46
30/10/2013,634.19,23.33
06/11/2013,639.04,70.52
22/11/2013,626.51,74.84
23/11/2013,619.33,54.76
08/12/2013,618.78,84.53
17/12/2013,611.78,22.43
02/01/2014,605.54,20.88
09/01/2014,596.03,96.26
10/01/2014,592.7,85.91
26/01/2014,595.33,51.73
11/02/2014,586.38,56.51
19/02/2014,582.27,22.76
07/03/2014,562.36,86.2
14/03/2014,546.13,125.37
15/03/2014,563.65,77.3
15/04/2014,506.42,152.74
10/05/2014,483.25,45.73
17/05/2014,456.49,185.25
18/05/2014,472.48,122.67
18/06/2014,418.48,199.14
04/07/2014,401.82,203.94
13/07/2014,396.3,154.74
14/08/2014,452.23,106.61
23/09/2014,683.81,38.19
08/10/2014,665.54,56.61
09/10/2014,706.82,37.44
17/10/2014,683.89,42.01
24/10/2014,679.85,50.88
02/11/2014,633.71,66.92
09/11/2014,654.29,62.85
10/11/2014,625.31,55.7
26/11/2014,610.65,61.32
04/12/2014,604.3,23.7
11/12/2014,608.53,94.02
12/12/2014,603.74,66.02
20/12/2014,599.68,31.59
27/12/2014,604.54,82.82
28/12/2014,594.09,67.69
13/01/2015,592.63,66.38
21/01/2015,592.19,37.67
29/01/2015,573.72,98.84
06/02/2015,585.93,34.73
13/02/2015,574.47,103.02
22/02/2015,570.23,106.81
26/03/2015,565.09,33.92
19/04/2015,538.97,89.53
27/04/2015,525.84,24.57
20/05/2015,463.63,179.59
21/05/2015,468.32,141.5
29/05/2015,460.37,45.8
14/06/2015,439.87,42.05
10/09/2015,557.11,87.89
20/10/2015,641.93,21.14
28/10/2015,630.11,57.87
12/11/2015,636.82,69.1
13/11/2015,649.93,47.25
21/11/2015,621.17,23.09
28/11/2015,620.77,79.31
29/11/2015,616.28,60.05
07/12/2015,615.12,29.94
15/12/2015,613.68,59.67
05/01/2016,599.77,48.2
15/01/2016,595.56,92.64
16/01/2016,603.24,56.07
24/01/2016,600.69,102.71
31/01/2016,579.63,104.04
01/02/2016,591.4,62.15
04/02/2016,588.44,9.5
09/02/2016,563.38,108.99
16/02/2016,567.4,104.73
25/02/2016,563.89,79.46
15/03/2016,558.43,8.64
25/03/2016,535.24,56.57
20/04/2016,478.53,169.18
13/06/2016,401.87,114.56
24/06/2016,384.46,171.93
02/07/2016,376.72,106.57
12/08/2016,465.16,127.52
22/08/2016,509.03,142.03
20/09/2016,585.87,105.36
01/10/2016,611.33,28.75
13/10/2016,589.07,99.89
22/10/2016,572.45,61.78
07/11/2016,576.84,71.55
14/11/2016,572.91,110.02
15/11/2016,564.4,86.79
01/12/2016,560.5,78.25
09/12/2016,553.5,76.11
16/12/2016,556.23,118.41
17/12/2016,554.36,78.71
30/12/2016,551.05,9.04
01/01/2017,552.26,150.72
18/01/2017,540.14,88.82
19/01/2017,540.8,7.87
26/01/2017,527.4,106.29
29/01/2017,536.55,8.14
08/02/2017,532.5,8.13
19/02/2017,524.79,103.39
27/02/2017,519.47,64.53
28/02/2017,520.13,10.24
06/03/2017,510.5,144.89
10/03/2017,514.34,30.89
31/03/2017,496.84,42.61
19/04/2017,479.05,70.15
24/04/2017,472.41,122.32
29/04/2017,462.97,9.73
25/05/2017,427.84,190.57
29/05/2017,421.25,132.03
03/06/2017,419.18,65.35
26/06/2017,395.17,204.18
23/07/2017,392.46,75.64
12/08/2017,422.13,119.18
06/09/2017,497.9,113.94
11/09/2017,492.64,101.42
16/09/2017,519.75,99.84
21/09/2017,593.52,46.07
06/10/2017,637.31,31.02
21/10/2017,639.95,12.77
25/10/2017,642.4,19.14
31/10/2017,588.46,46.09
02/11/2017,624.22,55.82
03/12/2017,608.54,87.33
04/12/2017,627.04,76.05
10/12/2017,525.52,65.25
19/12/2017,593.34,98.09
13/01/2018,584.12,27.31
20/01/2018,569.5,110.22
21/01/2018,572.98,73.59
05/02/2018,553.33,112.64
05/03/2018,544.28,8.63
09/03/2018,533.14,132.16
15/03/2018,538.08,32.57
04/04/2018,532.53,12.44
09/04/2018,499.25,143.23
14/04/2018,507.32,8.04
24/04/2018,502.4,136.98
19/05/2018,454.93,156.85
21/05/2018,466.83,49.17
28/05/2018,446.38,183.3
18/06/2018,437.07,74.83
28/06/2018,417.1,152.75
13/07/2018,406.1,81.25
18/07/2018,414.04,119.63
07/08/2018,423.99,100.74
01/10/2018,618.13,34.72
12/10/2018,605.77,69.62
20/10/2018,615.83,60.83
21/11/2018,579.92,71.36
06/12/2018,559.18,124.42
07/12/2018,572.52,81.66
22/12/2018,569.28,108.1
31/12/2018,560.24,35.11
16/01/2019,554.42,122.47
23/01/2019,546.72,116.19
24/01/2019,548.96,99.19
01/02/2019,545.87,39.83
05/03/2019,527.91,38.11
13/03/2019,522.69,94.93
21/03/2019,516.34,61.66
29/03/2019,506.7,100.19
01/06/2019,426.64,143.38
09/06/2019,441.4,70.96
16/06/2019,424.45,197.17
17/06/2019,441.19,127.6
07/11/2019,716.54,34.34
08/11/2019,713.43,24.73
16/11/2019,717.71,17.08
09/12/2019,704.32,39.21
10/12/2019,697.02,31.83
25/12/2019,688.74,43.79
10/01/2020,670.85,49.39