State,Population,Land Area (km3),Population Density (people/km3)
Kano,9383682,20680,454
Lagos,9013534,3345,2695
Kaduna,6066562,43460,140
Katsina,5792578,26785,216
Oyo,5591589,27460,204
Rivers,5185400,11077,468
Bauchi,4676465,64605,72
Jigawa,4348649,22605,192
Benue,4219244,34059,124
Anambra,4182032,4844,863
Borno,4151193,71130,58
Delta,4098391,18050,227
Imo,3934899,5430,725
Niger,3950249,13930,284
Akwa Ibom,3920208,6187,634
Ogun,3728098,16762,222
Sokoto,3696999,25973,142
Ondo,3441024,14606,236
Osun,3423535,10245,334
Kogi,3278487,32440,284
Zamfara,3259846,39762,82
Enugu,3257298,12440,262
Kebbi,3238628,41855,77
Edo,3218332,17450,184
Plateau,3178712,58030,55
Adamawa,3168101,36917,86
Cross River,2888966,21050,137
Abia,2833999,5420,522
Ekiti,2384212,6353,375
Kwara,2371089,37700,63
Gombe,2353879,18768,125
Yobe,2321591,45270,51
Taraba,2300736,55920,41
Ebonyi,2173501,5530,393
Nasarawa,1863275,27117,69
Bayelsa,1703358,10773,158